"Date","CO2"
1977.537,332.33
1977.6219,332.43
1977.7068,332.14
1977.789,332.34
1977.874,333.91
1977.9562,333.44
1978.0411,333.86
1978.126,333.7
1978.2027,333.17
1978.2877,333.72
1978.3699,333.33
1978.4548,333.59
1978.537,334.51
1978.6219,333.58
1978.7068,335.33
1978.789,334.52
1978.874,334.56
1978.9562,334.77
1979.0411,333.93
1979.126,335.64
1979.2027,335.38
1979.2877,335.2
1979.3699,334.73
1979.4548,335.4
1979.537,335.74
1979.6219,335.79
1979.7068,335.89
1979.789,335.79
1979.874,335.01
1979.9562,335.55
1980.041,336.15
1980.1257,336.17
1980.2049,336.63
1980.2896,336.58
1980.3716,337.19
1980.4563,336.86
1980.5383,338.19
1980.623,336.87
1980.7077,337.3
1980.7896,337.42
1980.8743,337.87
1980.9563,337.54
1981.0411,337.77
1981.126,337.65
1981.2027,337.53
1981.2877,337.9
1981.3699,338.96
1981.4548,338.47
1981.537,338.36
1981.6219,338.44
1981.7068,338.52
1981.789,337.92
1981.874,338.69
1981.9562,338.77
1982.0411,338.86
1982.126,338.96
1982.2027,338.94
1982.2877,339.33
1982.3699,339.26
1982.4548,339.55
1982.537,339.07
1982.6219,339.87
1982.7068,339.45
1982.789,339.87
1982.874,340.13
1982.9562,340.14
1983.0411,340.27
1983.126,340.41
1983.2027,340.65
1983.2877,340.66
1983.3699,340.78
1983.4548,340.9
1983.537,340.85
1983.6219,341.5
1983.7068,341.23
1983.789,341.33
1983.874,341.56
1983.9562,341.53
1984.041,341.74
1984.1257,341.9
1984.2049,341.64
1984.2896,341.19
1984.3716,341.98
1984.4563,342.07
1984.5383,342.45
1984.623,342.27
1984.7077,342.23
1984.7896,342.46
1984.8743,342.88
1984.9563,342.66
1985.0411,342.76
1985.126,342.87
1985.2027,342.73
1985.2877,343.06
1985.3699,343.13
1985.4548,343.27
1985.537,343.52
1985.6219,343.5
1985.7068,343.62
1985.789,343.59
1985.874,343.87
1985.9562,343.82
1986.0411,343.55
1986.126,344.26
1986.2027,345.05
1986.2877,344.52
1986.3699,344.96
1986.4548,344.78
1986.537,344.81
1986.6219,344.74
1986.7068,345.39
1986.789,344.11
1986.874,345.51
1986.9562,345.67
1987.0411,345.83
1987.126,346.68
1987.2027,345.8
1987.2877,346.3
1987.3699,346.75
1987.4548,346.33
1987.537,346.61
1987.6219,346.59
1987.7068,347.63
1987.789,347.22
1987.874,347.18
1987.9562,348.59
1988.041,348.17
1988.1257,348.14
1988.2049,348.14
1988.2896,348.24
1988.3716,348.93
1988.4563,348.14
1988.5383,348.33
1988.623,348.88
1988.7077,349.03
1988.7896,349.47
1988.8743,349.06
1988.9563,349.47
1989.0411,349.96
1989.126,349.21
1989.2027,350.32
1989.2877,350.75
1989.3699,350.41
1989.4548,349.71
1989.537,350.34
1989.6219,350.45
1989.7068,350.33
1989.789,350.65
1989.874,351.45
1989.9562,350.52
1990.0411,350.98
1990.126,351.04
1990.2027,351.14
1990.2877,349.94
1990.3699,351.34
1990.4548,351.19
1990.537,351.77
1990.6219,351.32
1990.7068,352.43
1990.789,351.28
1990.874,352.41
1990.9562,352.13
1991.0411,352.32
1991.126,352.15
1991.2027,352.39
1991.2877,352.59
1991.3699,352.66
1991.4548,353.9
1991.537,353.08
1991.6219,352.93
1991.7068,352.47
1991.789,352.84
1991.874,352.98
1991.9562,353.28
1992.041,352.54
1992.1257,353.5
1992.2049,353.61
1992.2896,353.6
1992.3716,353.54
1992.4563,354.61
1992.5383,354.23
1992.623,354.58
1992.7077,354.31
1992.7896,354.68
1992.8743,354.24
1992.9563,354.42
1993.0411,354.16
1993.126,354.01
1993.2027,355.55
1993.2877,354.61
1993.3699,355.1
1993.4548,354.26
1993.537,355.33
1993.6219,354.82
1993.7068,355.54
1993.789,355.05
1993.874,355.74
1993.9562,355.22
1994.0411,355.18
1994.126,355.58
1994.2027,356.39
1994.2877,356.18
1994.3699,355.98
1994.4548,355.86
1994.537,356.57
1994.6219,356.75
1994.7068,357.13
1994.789,357.7
1994.874,356.98
1994.9562,357.1
1995.0411,356.84
1995.126,356.65
1995.2027,357.47
1995.2877,357.36
1995.3699,357.19
1995.4548,357.91
1995.537,358.18
1995.6219,358.35
1995.7068,358.4
1995.789,358.12
1995.874,358.99
1995.9562,358.57
1996.041,359.06
1996.1257,359.45
1996.2049,360.68
1996.2896,358.94
1996.3716,359.88
1996.4563,359.67
1996.5383,359.51
1996.623,359.83
1996.7077,359.95
1996.7896,359.29
1996.8743,359.93
1996.9563,360.84
1997.0411,360.37
1997.126,360.49
1997.2027,360.56
1997.2877,360.28
1997.3699,360.49
1997.4548,361.09
1997.537,361.27
1997.6219,361.15
1997.7068,361.67
1997.789,361.87
1997.874,362.09
1997.9562,362.3
1998.0411,362.73
1998.126,363.02
1998.2027,363.13
1998.2877,363.29
1998.3699,363.13
1998.4548,363.54
1998.537,363.66
1998.6219,363.94
1998.7068,364.43
1998.789,364.26
1998.874,364.42
1998.9562,364.47
1999.0411,365.42
1999.126,365.91
1999.2027,364.97
1999.2877,364.19
1999.3699,365.21
1999.4548,365.15
1999.537,365.75
1999.6219,365.6
1999.7068,365.72
1999.789,366.58
1999.874,366.22
1999.9562,366.03
2000.041,366.09
2000.1257,366.24
2000.2049,366.5
2000.2896,366.42
2000.3716,366.27
2000.4563,366.6
2000.5383,367.18
2000.623,365.66
2000.7077,366.92
2000.7896,367.03
2000.8743,367.56
2000.9563,367.29
2001.0411,367.43
2001.126,367.57
2001.2027,367.45
2001.2877,367.54
2001.3699,368.33
2001.4548,368.18
2001.537,368.34
2001.6219,368.52
2001.7068,368.18
2001.789,368.95
2001.874,369.08
2001.9562,369.28
2002.0411,369.48
2002.126,369.69
2002.2027,369.89
2002.2877,370.11
2002.3699,370.11
2002.4548,370.54
2002.537,370.68
2002.6219,370.98
2002.7068,371.2
2002.789,371.65
2002.874,371.9
2002.9562,371.82
2003.0411,372.04
2003.126,372.22
2003.2027,372.39
2003.2877,372.6
2003.3699,372.92
2003.4548,373.13
2003.537,373.08
2003.6219,372.83
2003.7068,373.4
2003.789,373.47
2003.874,373.7
2003.9562,373.84
2004.041,373.99
2004.1257,374.13
2004.2049,374.35
2004.2896,374.72
2004.3716,374.52
2004.4563,374.8
2004.5383,374.65
2004.623,374.42
2004.7077,375
2004.7896,375.13
2004.8743,375.27
2004.9563,374.97
2005.0411,375.56
2005.126,376.05
2005.2027,375.76
2005.2877,374.77
2005.3699,376.12
2005.4548,376.66
2005.537,376.64
2005.6219,377.87
2005.7068,376.95
2005.789,377.63
2005.874,377.42
2005.9562,377.6
2006.0411,377.72
2006.126,377.95
2006.2027,378.19
2006.2877,378.38
2006.3699,378.54
2006.4548,378.69
2006.537,378.7
2006.6219,378.74
2006.7068,379.04
2006.789,378.98
2006.874,379.35
2006.9562,379.24
2007.0411,379.67
2007.126,379.83
2007.2027,379.98
2007.2877,380.61
2007.3699,380.29
2007.4548,380.48
2007.537,380.46
2007.6219,380.23
2007.7068,380.73
2007.789,381.3
2007.874,381.27
2007.9562,381.43
2008.041,382.03
2008.1257,381.76
2008.2049,382.15
2008.2896,381.44
2008.3716,382.24
2008.4563,382.4
2008.5383,382.53
2008.623,382.72
2008.7077,382.92
2008.7896,383.03
2008.8743,383.18
2008.9563,383.32
2009.0411,383.45
2009.126,383.59
2009.2027,384.5
2009.2877,384.67
2009.3699,383.95
2009.4548,384.04
2009.537,384.14
2009.6219,384.01
2009.7068,383.94
2009.789,383.64
2009.874,384.64
2009.9562,384.22
2010.0411,384.96
2010.126,385.67
2010.2027,385.32
2010.2877,385.21
2010.3699,385.72
2010.4548,385.39
2010.537,385.92
2010.6219,386.53
2010.7068,386.57
2010.789,387.16
2010.874,386.97
2010.9562,387.75
2011.0411,387.61
2011.126,387.47
2011.2027,386.84
2011.2877,388.75
2011.3699,387.86
2011.4548,387.98
2011.537,387.85
2011.6219,388.21
2011.7068,388.95
2011.789,387.94
2011.874,388.59
2011.9562,388.73
2012.041,388.79
2012.1257,388.71
2012.2049,388.74
2012.2896,388.74
2012.3716,389.26
2012.4563,390.31
2012.5383,390.12
2012.623,389.99
2012.7077,390.98
2012.7896,390.86
2012.8743,391.11
2012.9563,391.58
2013.0411,391.97
2013.126,391.56
2013.2027,392.13
2013.2877,392.26
2013.3699,392.7
2013.4548,392.73
2013.537,392.85
2013.6219,393.21
2013.7068,393.44
2013.789,393.53
2013.874,393.67
2013.9562,393.81
2014.0411,393.72
2014.126,393.97
2014.2027,394.42
2014.2877,394.59
2014.3699,394.38
2014.4548,394.49
2014.537,394.6
2014.6219,393.62
2014.7068,395.09
2014.789,395.02
2014.874,395.09
2014.9562,395.82
2015.0411,395.58
2015.126,395.98
2015.2027,396.01
2015.2877,396.25
2015.3699,396.47
2015.4548,395.75
2015.537,397.35
2015.6219,397.33
2015.7068,397.68
2015.789,397.63
2015.874,398.37
2015.9562,398.79
2016.041,399.42
2016.1257,399.38
2016.2049,399.86
2016.2896,399.92
2016.3716,400.19
2016.4563,400.44
2016.5383,400.65
2016.623,400.75
2016.7077,401.04
2016.7896,401.33
2016.8743,401.33
2016.9563,401.47
2017.0411,401.6
2017.126,401.68
2017.2027,401.84
2017.2877,401.98
2017.3699,402.13
2017.4548,401.95
2017.537,403.1
2017.6219,402.66
2017.7068,402.77
2017.789,402.94
2017.874,402.95
2017.9562,403.28
2018.0411,403.49
2018.126,403.69
2018.2027,403.75
2018.2877,403.85
2018.3699,404.31
2018.4548,404.78
2018.537,404.74
2018.6219,404.95
2018.7068,405.46
2018.789,405.34
2018.874,405.53
2018.9562,405.66
2019.0411,405.9
2019.126,405.91
2019.2027,406.02
2019.2877,407.21
2019.3699,406.98
2019.4548,407.25
2019.537,408.08
2019.6219,407.76
2019.7068,407.93
2019.789,408.25
2019.874,407.91
2019.9562,408.49
2020.041,408.64
2020.1257,408.87
2020.2049,409.26
2020.2896,409.23
2020.3716,409.42
2020.4563,409.61
2020.5383,409.65
2020.623,410.01
2020.7077,410.33
2020.7896,410.49
2020.8743,410.78
2020.9563,410.79
2021.0411,410.96
2021.126,411.02
2021.2027,411.26
2021.2877,411.51
2021.3699,411.55
2021.4548,411.69
2021.537,411.84
