"Date","CO2"
1977-01-31,334.71
1977-03-03,336.08
1977-03-31,336.76
1977-05-01,336.28
1977-05-31,334.93
1977-07-01,332.76
1977-07-31,331.6
1977-08-31,331.17
1977-10-01,332.41
1977-10-31,333.86
1977-12-01,334.98
1977-12-31,335.4
1978-01-31,336.65
1978-03-03,337.76
1978-03-31,338.02
1978-05-01,337.91
1978-05-31,336.55
1978-07-01,334.69
1978-07-31,332.77
1978-08-31,332.56
1978-10-01,333.93
1978-10-31,334.96
1978-12-01,336.24
1978-12-31,336.77
1979-01-31,337.97
1979-03-03,338.89
1979-03-31,339.48
1979-05-01,339.3
1979-05-31,337.74
1979-07-01,336.1
1979-07-31,333.93
1979-08-31,333.87
1979-10-01,335.3
1979-10-31,336.74
1979-12-01,338.03
1979-12-31,338.37
1980-01-31,340.09
1980-03-02,340.78
1980-03-31,341.48
1980-05-01,341.19
1980-05-31,339.57
1980-07-01,337.61
1980-07-31,335.9
1980-08-31,336.03
1980-10-01,337.12
1980-10-31,338.23
1980-12-01,339.25
1980-12-31,340.5
1981-01-31,341.4
1981-03-03,342.52
1981-03-31,342.93
1981-05-01,342.27
1981-05-31,340.5
1981-07-01,338.45
1981-07-31,336.71
1981-08-31,336.88
1981-10-01,338.38
1981-10-31,339.63
1981-12-01,340.77
1981-12-31,341.63
1982-01-31,342.72
1982-03-03,343.59
1982-03-31,344.16
1982-05-01,343.37
1982-05-31,342.07
1982-07-01,339.83
1982-07-31,338
1982-08-31,337.88
1982-10-01,339.28
1982-10-31,340.51
1982-12-01,341.4
1982-12-31,342.54
1983-01-31,343.12
1983-03-03,344.96
1983-03-31,345.77
1983-05-01,345.34
1983-05-31,344
1983-07-01,342.4
1983-07-31,339.89
1983-08-31,340.01
1983-10-01,341.16
1983-10-31,342.99
1983-12-01,343.82
1983-12-31,344.62
1984-01-31,345.38
1984-03-02,347.15
1984-03-31,347.52
1984-05-01,346.88
1984-05-31,345.47
1984-07-01,343.34
1984-07-31,341.13
1984-08-31,341.4
1984-10-01,343.02
1984-10-31,344.25
1984-12-01,344.99
1984-12-31,346.01
1985-01-31,347.43
1985-03-03,348.34
1985-03-31,348.92
1985-05-01,348.24
1985-05-31,346.54
1985-07-01,344.64
1985-07-31,343.06
1985-08-31,342.78
1985-10-01,344.21
1985-10-31,345.53
1985-12-01,346.28
1985-12-31,346.93
1986-01-31,347.83
1986-03-03,349.53
1986-03-31,350.19
1986-05-01,349.54
1986-05-31,347.92
1986-07-01,345.88
1986-07-31,344.83
1986-08-31,344.16
1986-10-01,345.64
1986-10-31,346.88
1986-12-01,348
1986-12-31,348.47
1987-01-31,349.41
1987-03-03,350.97
1987-03-31,351.84
1987-05-01,351.25
1987-05-31,349.5
1987-07-01,348.08
1987-07-31,346.44
1987-08-31,346.09
1987-10-01,347.54
1987-10-31,348.69
1987-12-01,350.16
1987-12-31,351.47
1988-01-31,351.96
1988-03-02,353.33
1988-03-31,353.97
1988-05-01,353.55
1988-05-31,352.14
1988-07-01,350.19
1988-07-31,348.5
1988-08-31,348.66
1988-10-01,349.85
1988-10-31,351.12
1988-12-01,352.55
1988-12-31,352.86
1989-01-31,353.48
1989-03-03,355.21
1989-03-31,355.47
1989-05-01,354.92
1989-05-31,353.7
1989-07-01,351.47
1989-07-31,349.61
1989-08-31,349.79
1989-10-01,351.1
1989-10-31,352.32
1989-12-01,353.46
1989-12-31,354.5
1990-01-31,355.19
1990-03-03,356
1990-03-31,356.96
1990-05-01,356.04
1990-05-31,354.62
1990-07-01,352.71
1990-07-31,350.77
1990-08-31,350.99
1990-10-01,352.64
1990-10-31,354.02
1990-12-01,354.53
1990-12-31,355.55
1991-01-31,356.96
1991-03-03,358.4
1991-03-31,359.14
1991-05-01,358.04
1991-05-31,355.98
1991-07-01,353.81
1991-07-31,351.95
1991-08-31,352.02
1991-10-01,353.55
1991-10-31,354.79
1991-12-01,355.79
1991-12-31,356.52
1992-01-31,357.61
1992-03-02,358.95
1992-03-31,359.46
1992-05-01,359.05
1992-05-31,356.82
1992-07-01,354.8
1992-07-31,352.81
1992-08-31,353.11
1992-10-01,353.96
1992-10-31,355.2
1992-12-01,356.5
1992-12-31,356.97
1993-01-31,358.18
1993-03-03,359.26
1993-03-31,360.08
1993-05-01,359.4
1993-05-31,357.38
1993-07-01,355.33
1993-07-31,353.5
1993-08-31,353.8
1993-10-01,355.15
1993-10-31,356.62
1993-12-01,358.19
1993-12-31,358.73
1994-01-31,359.79
1994-03-03,361.09
1994-03-31,361.51
1994-05-01,360.78
1994-05-31,359.38
1994-07-01,357.31
1994-07-31,355.68
1994-08-31,355.83
1994-10-01,357.42
1994-10-31,358.87
1994-12-01,359.81
1994-12-31,360.84
1995-01-31,361.48
1995-03-03,363.3
1995-03-31,363.64
1995-05-01,363.11
1995-05-31,361.75
1995-07-01,359.31
1995-07-31,357.91
1995-08-31,357.62
1995-10-01,359.42
1995-10-31,360.56
1995-12-01,361.91
1995-12-31,363.11
1996-01-31,363.89
1996-03-02,364.58
1996-03-31,365.29
1996-05-01,364.84
1996-05-31,363.52
1996-07-01,361.35
1996-07-31,359.32
1996-08-31,359.48
1996-10-01,360.64
1996-10-31,362.21
1996-12-01,363.06
1996-12-31,363.87
1997-01-31,364.44
1997-03-03,366.23
1997-03-31,366.68
1997-05-01,365.52
1997-05-31,364.36
1997-07-01,362.39
1997-07-31,360.08
1997-08-31,360.67
1997-10-01,362.32
1997-10-31,364.17
1997-12-01,365.22
1997-12-31,366.04
1998-01-31,367.2
1998-03-03,368.5
1998-03-31,369.19
1998-05-01,368.77
1998-05-31,367.53
1998-07-01,365.67
1998-07-31,363.8
1998-08-31,364.14
1998-10-01,365.36
1998-10-31,366.87
1998-12-01,368.05
1998-12-31,368.77
1999-01-31,369.49
1999-03-03,371.04
1999-03-31,370.9
1999-05-01,370.25
1999-05-31,369.17
1999-07-01,366.83
1999-07-31,364.54
1999-08-31,365.04
1999-10-01,366.58
1999-10-31,367.91
1999-12-01,369.05
1999-12-31,369.37
2000-01-31,370.42
2000-03-02,371.57
2000-03-31,371.74
2000-05-01,371.6
2000-05-31,370.02
2000-07-01,368.03
2000-07-31,366.53
2000-08-31,366.64
2000-10-01,368.2
2000-10-31,369.44
2000-12-01,370.2
2000-12-31,371.42
2001-01-31,372.04
2001-03-03,372.78
2001-03-31,373.94
2001-05-01,373.23
2001-05-31,371.54
2001-07-01,369.47
2001-07-31,367.88
2001-08-31,368.02
2001-10-01,369.6
2001-10-31,371.15
2001-12-01,372.36
2001-12-31,373
2002-01-31,373.44
2002-03-03,374.77
2002-03-31,375.48
2002-05-01,375.34
2002-05-31,373.95
2002-07-01,371.41
2002-07-31,370.63
2002-08-31,370.18
2002-10-01,372.01
2002-10-31,373.71
2002-12-01,374.61
2002-12-31,375.55
2003-01-31,376.04
2003-03-03,377.58
2003-03-31,378.28
2003-05-01,378.07
2003-05-31,376.54
2003-07-01,374.42
2003-07-31,372.92
2003-08-31,372.94
2003-10-01,374.29
2003-10-31,375.63
2003-12-01,376.73
2003-12-31,377.31
2004-01-31,378.33
2004-03-02,380.44
2004-03-31,380.56
2004-05-01,379.49
2004-05-31,377.71
2004-07-01,375.77
2004-07-31,373.99
2004-08-31,374.17
2004-10-01,375.79
2004-10-31,377.39
2004-12-01,378.29
2004-12-31,379.56
2005-01-31,380.07
2005-03-03,382.01
2005-03-31,382.21
2005-05-01,382.05
2005-05-31,380.63
2005-07-01,378.63
2005-07-31,376.39
2005-08-31,376.77
2005-10-01,378.27
2005-10-31,379.93
2005-12-01,381.33
2005-12-31,381.98
2006-01-31,382.53
2006-03-03,384.33
2006-03-31,384.89
2006-05-01,384
2006-05-31,382.25
2006-07-01,380.44
2006-07-31,378.77
2006-08-31,379.03
2006-10-01,380.11
2006-10-31,381.63
2006-12-01,382.55
2006-12-31,383.68
2007-01-31,384.31
2007-03-03,386.2
2007-03-31,386.38
2007-05-01,385.85
2007-05-31,384.42
2007-07-01,381.81
2007-07-31,380.83
2007-08-31,380.83
2007-10-01,382.32
2007-10-31,383.58
2007-12-01,385.04
2007-12-31,385.81
2008-01-31,385.8
2008-03-02,386.74
2008-03-31,388.48
2008-05-01,388.02
2008-05-31,386.22
2008-07-01,384.05
2008-07-31,383.05
2008-08-31,382.75
2008-10-01,383.98
2008-10-31,385.08
2008-12-01,386.63
2008-12-31,387.1
2009-01-31,388.5
2009-03-03,389.54
2009-03-31,390.15
2009-05-01,389.6
2009-05-31,388.05
2009-07-01,386.06
2009-07-31,384.64
2009-08-31,384.32
2009-10-01,386.05
2009-10-31,387.48
2009-12-01,388.55
2009-12-31,390.08
2010-01-31,391.02
2010-03-03,392.39
2010-03-31,393.24
2010-05-01,392.26
2010-05-31,390.35
2010-07-01,388.53
2010-07-31,386.85
2010-08-31,387.18
2010-10-01,388.69
2010-10-31,389.83
2010-12-01,391.33
2010-12-31,391.96
2011-01-31,392.49
2011-03-03,393.4
2011-03-31,394.33
2011-05-01,393.75
2011-05-31,392.64
2011-07-01,390.25
2011-07-31,389.05
2011-08-31,388.98
2011-10-01,390.3
2011-10-31,391.86
2011-12-01,393.13
2011-12-31,393.42
2012-01-31,394.43
2012-03-02,396.51
2012-03-31,396.96
2012-05-01,395.97
2012-05-31,394.6
2012-07-01,392.61
2012-07-31,391.2
2012-08-31,391.09
2012-10-01,393.03
2012-10-31,394.42
2012-12-01,395.69
2012-12-31,396.94
2013-01-31,397.36
2013-03-03,398.44
2013-03-31,400.06
2013-05-01,398.96
2013-05-31,397.45
2013-07-01,395.48
2013-07-31,393.47
2013-08-31,393.77
2013-10-01,395.27
2013-10-31,396.9
2013-12-01,398.01
2013-12-31,398.18
2014-01-31,399.56
2014-03-03,401.43
2014-03-31,401.98
2014-05-01,401.41
2014-05-31,399.17
2014-07-01,397.3
2014-07-31,395.49
2014-08-31,395.74
2014-10-01,397.32
2014-10-31,398.89
2014-12-01,399.94
2014-12-31,400.4
2015-01-31,401.6
2015-03-03,403.52
2015-03-31,404.03
2015-05-01,402.81
2015-05-31,401.54
2015-07-01,398.93
2015-07-31,397.43
2015-08-31,398.22
2015-10-01,400.17
2015-10-31,401.82
2015-12-01,402.57
2015-12-31,404.1
2016-01-31,404.79
2016-03-02,407.48
2016-03-31,407.6
2016-05-01,406.94
2016-05-31,404.43
2016-07-01,402.16
2016-07-31,400.94
2016-08-31,401.43
2016-10-01,403.57
2016-10-31,404.48
2016-12-01,406
2016-12-31,406.57
2017-01-31,406.99
2017-03-03,408.88
2017-03-31,409.84
2017-05-01,409.04
2017-05-31,407.14
2017-07-01,405.19
2017-07-31,403.2
2017-08-31,403.56
2017-10-01,405.1
2017-10-31,406.68
2017-12-01,407.98
2017-12-31,408.35
2018-01-31,409.21
2018-03-03,410.23
2018-03-31,411.23
2018-05-01,410.81
2018-05-31,408.83
2018-07-01,407.02
2018-07-31,405.53
2018-08-31,405.93
2018-10-01,408.05
2018-10-31,409.16
2018-12-01,410.85
2018-12-31,411.58
2019-01-31,411.9
2019-03-03,413.46
2019-03-31,414.75
2019-05-01,413.89
2019-05-31,411.79
2019-07-01,410.02
2019-07-31,408.48
2019-08-31,408.4
2019-10-01,410.16
2019-10-31,411.81
2019-12-01,413.32
2019-12-31,414.04
2020-01-31,414.44
2020-03-02,416.11
2020-03-31,417.16
2020-05-01,416.29
2020-05-31,414.43
2020-07-01,412.52
2020-07-31,411.17
2020-08-31,411.12
2020-10-01,412.89
2020-10-31,413.88
2020-12-01,415.15
2020-12-31,416.47
2021-01-31,417.1
2021-03-03,418.26
2021-03-31,418.95
2021-05-01,418.7
2021-05-31,416.66
2021-07-01,414.38
2021-07-31,412.93
2021-08-31,413.52
2021-10-01,414.81
2021-10-31,416.43
2021-12-01,418.01
2021-12-31,418.99
2022-01-31,418.45
2022-03-03,420.01
2022-03-31,420.78
2022-05-01,420.68
2022-05-31,418.71
2022-07-01,416.75
2022-07-31,415.42
2022-08-31,415.31
