"Date","CO2","Site"
1977.537,332.33,"bhd"
1977.6219,332.43,"bhd"
1977.7068,332.14,"bhd"
1977.789,332.34,"bhd"
1977.874,333.91,"bhd"
1977.9562,333.44,"bhd"
1978.0411,333.86,"bhd"
1978.126,333.7,"bhd"
1978.2027,333.17,"bhd"
1978.2877,333.72,"bhd"
1978.3699,333.33,"bhd"
1978.4548,333.59,"bhd"
1978.537,334.51,"bhd"
1978.6219,333.58,"bhd"
1978.7068,335.33,"bhd"
1978.789,334.52,"bhd"
1978.874,334.56,"bhd"
1978.9562,334.77,"bhd"
1979.0411,333.93,"bhd"
1979.126,335.64,"bhd"
1979.2027,335.38,"bhd"
1979.2877,335.2,"bhd"
1979.3699,334.73,"bhd"
1979.4548,335.4,"bhd"
1979.537,335.74,"bhd"
1979.6219,335.79,"bhd"
1979.7068,335.89,"bhd"
1979.789,335.79,"bhd"
1979.874,335.01,"bhd"
1979.9562,335.55,"bhd"
1980.041,336.15,"bhd"
1980.1257,336.17,"bhd"
1980.2049,336.63,"bhd"
1980.2896,336.58,"bhd"
1980.3716,337.19,"bhd"
1980.4563,336.86,"bhd"
1980.5383,338.19,"bhd"
1980.623,336.87,"bhd"
1980.7077,337.3,"bhd"
1980.7896,337.42,"bhd"
1980.8743,337.87,"bhd"
1980.9563,337.54,"bhd"
1981.0411,337.77,"bhd"
1981.126,337.65,"bhd"
1981.2027,337.53,"bhd"
1981.2877,337.9,"bhd"
1981.3699,338.96,"bhd"
1981.4548,338.47,"bhd"
1981.537,338.36,"bhd"
1981.6219,338.44,"bhd"
1981.7068,338.52,"bhd"
1981.789,337.92,"bhd"
1981.874,338.69,"bhd"
1981.9562,338.77,"bhd"
1982.0411,338.86,"bhd"
1982.126,338.96,"bhd"
1982.2027,338.94,"bhd"
1982.2877,339.33,"bhd"
1982.3699,339.26,"bhd"
1982.4548,339.55,"bhd"
1982.537,339.07,"bhd"
1982.6219,339.87,"bhd"
1982.7068,339.45,"bhd"
1982.789,339.87,"bhd"
1982.874,340.13,"bhd"
1982.9562,340.14,"bhd"
1983.0411,340.27,"bhd"
1983.126,340.41,"bhd"
1983.2027,340.65,"bhd"
1983.2877,340.66,"bhd"
1983.3699,340.78,"bhd"
1983.4548,340.9,"bhd"
1983.537,340.85,"bhd"
1983.6219,341.5,"bhd"
1983.7068,341.23,"bhd"
1983.789,341.33,"bhd"
1983.874,341.56,"bhd"
1983.9562,341.53,"bhd"
1984.041,341.74,"bhd"
1984.1257,341.9,"bhd"
1984.2049,341.64,"bhd"
1984.2896,341.19,"bhd"
1984.3716,341.98,"bhd"
1984.4563,342.07,"bhd"
1984.5383,342.45,"bhd"
1984.623,342.27,"bhd"
1984.7077,342.23,"bhd"
1984.7896,342.46,"bhd"
1984.8743,342.88,"bhd"
1984.9563,342.66,"bhd"
1985.0411,342.76,"bhd"
1985.126,342.87,"bhd"
1985.2027,342.73,"bhd"
1985.2877,343.06,"bhd"
1985.3699,343.13,"bhd"
1985.4548,343.27,"bhd"
1985.537,343.52,"bhd"
1985.6219,343.5,"bhd"
1985.7068,343.62,"bhd"
1985.789,343.59,"bhd"
1985.874,343.87,"bhd"
1985.9562,343.82,"bhd"
1986.0411,343.55,"bhd"
1986.126,344.26,"bhd"
1986.2027,345.05,"bhd"
1986.2877,344.52,"bhd"
1986.3699,344.96,"bhd"
1986.4548,344.78,"bhd"
1986.537,344.81,"bhd"
1986.6219,344.74,"bhd"
1986.7068,345.39,"bhd"
1986.789,344.11,"bhd"
1986.874,345.51,"bhd"
1986.9562,345.67,"bhd"
1987.0411,345.83,"bhd"
1987.126,346.68,"bhd"
1987.2027,345.8,"bhd"
1987.2877,346.3,"bhd"
1987.3699,346.75,"bhd"
1987.4548,346.33,"bhd"
1987.537,346.61,"bhd"
1987.6219,346.59,"bhd"
1987.7068,347.63,"bhd"
1987.789,347.22,"bhd"
1987.874,347.18,"bhd"
1987.9562,348.59,"bhd"
1988.041,348.17,"bhd"
1988.1257,348.14,"bhd"
1988.2049,348.14,"bhd"
1988.2896,348.24,"bhd"
1988.3716,348.93,"bhd"
1988.4563,348.14,"bhd"
1988.5383,348.33,"bhd"
1988.623,348.88,"bhd"
1988.7077,349.03,"bhd"
1988.7896,349.47,"bhd"
1988.8743,349.06,"bhd"
1988.9563,349.47,"bhd"
1989.0411,349.96,"bhd"
1989.126,349.21,"bhd"
1989.2027,350.32,"bhd"
1989.2877,350.75,"bhd"
1989.3699,350.41,"bhd"
